model,fold,epoch,train_loss,val_loss,val_acc,lr,elapsed
densenet121,1,0,1.128417270326819,1.031983009348177,0.4828767123287671,0.001, 0 hr 01 min
densenet121,1,1,0.9682195056661516,0.9331026518181579,0.547945205479452,0.001, 0 hr 03 min
densenet121,1,2,0.9109836404927298,0.8153188375577535,0.5993150684931506,0.001, 0 hr 05 min
densenet121,1,3,0.7618641470634886,0.7305452991021822,0.660958904109589,0.001, 0 hr 07 min
densenet121,1,4,0.6911140500220107,0.7098775865280464,0.6986301369863013,0.001, 0 hr 09 min
densenet121,1,5,0.61937605723291,0.6272067713410887,0.708904109589041,0.001, 0 hr 11 min
densenet121,1,6,0.6141636541984623,0.5987639169986934,0.7431506849315068,0.001, 0 hr 13 min
densenet121,1,7,0.5482333433474594,0.5717747056320922,0.7431506849315068,0.001, 0 hr 14 min
densenet121,1,8,0.5083054953122855,0.568450171857664,0.75,0.001, 0 hr 16 min
densenet121,1,9,0.5231549700186487,0.6137609682875137,0.7226027397260274,0.001, 0 hr 18 min
densenet121,1,10,0.5026382038265851,0.5337737745618167,0.773972602739726,0.001, 0 hr 20 min
densenet121,1,11,0.4622728611522478,0.5002579411415204,0.7945205479452054,0.001, 0 hr 22 min
densenet121,1,12,0.4203445606477271,0.529247763222211,0.7465753424657534,0.001, 0 hr 24 min
densenet121,1,13,0.39561425670022105,0.571206833605897,0.7397260273972602,0.001, 0 hr 26 min
densenet121,1,14,0.40743428571029794,0.47700781752801924,0.7773972602739726,0.001, 0 hr 28 min
densenet121,1,15,0.4225713894602567,0.515067870690398,0.7671232876712328,0.001, 0 hr 29 min
densenet121,1,16,0.3814821789448865,0.49878957520609035,0.7945205479452054,0.001, 0 hr 31 min
densenet121,1,17,0.390804900427233,0.5710636699852878,0.7431506849315068,0.001, 0 hr 33 min
densenet121,1,18,0.3767935286008237,0.5113677355932863,0.773972602739726,0.001, 0 hr 35 min
densenet121,1,19,0.3697972695203298,0.5836249136761443,0.7671232876712328,0.001, 0 hr 37 min
densenet121,1,20,0.3265268067433599,0.48012443233842717,0.8047945205479452,0.001, 0 hr 39 min
densenet121,1,21,0.32443513215355607,0.5207203351063271,0.7910958904109588,0.001, 0 hr 41 min
densenet121,1,22,0.31460561038598484,0.4922015867004656,0.8150684931506849,0.001, 0 hr 42 min
densenet121,1,23,0.2603726762814583,0.5055010418777597,0.7876712328767123,0.001, 0 hr 44 min
densenet121,1,24,0.278242635419952,0.49403897928048485,0.8253424657534246,0.001, 0 hr 46 min
densenet121,1,25,0.2883392346775071,0.5200055235461013,0.8082191780821917,0.001, 0 hr 48 min
densenet121,1,26,0.2646412651426291,0.5416139067239958,0.7842465753424657,0.001, 0 hr 50 min
densenet121,1,27,0.24979228374784085,0.6078988108528803,0.7636986301369862,0.001, 0 hr 52 min
