model,fold,epoch,train_loss,val_loss,val_acc,lr,elapsed
resnet50,1,0,1.1646291019067232,1.2248474926981208,0.3904109589041096,0.001, 0 hr 01 min
resnet50,1,1,1.0210900244283063,0.9419905714792748,0.5924657534246575,0.001, 0 hr 03 min
resnet50,1,2,0.9047905056773338,0.9636476517540135,0.5308219178082192,0.001, 0 hr 05 min
resnet50,1,3,0.7745586430054365,0.7782557704677321,0.6643835616438356,0.001, 0 hr 07 min
resnet50,1,4,0.7412519597188597,0.758966423060796,0.6164383561643836,0.001, 0 hr 09 min
resnet50,1,5,0.6615058408786298,0.6828628525342026,0.6780821917808219,0.001, 0 hr 11 min
resnet50,1,6,0.5758353680500146,0.6795231173299763,0.7054794520547945,0.001, 0 hr 12 min
resnet50,1,7,0.5765779827797362,0.7822380843636108,0.6472602739726027,0.001, 0 hr 14 min
resnet50,1,8,0.5817264553814998,0.6475663078974371,0.726027397260274,0.001, 0 hr 16 min
resnet50,1,9,0.5163188481023895,0.6986242832794581,0.6952054794520548,0.001, 0 hr 18 min
resnet50,1,10,0.47147395163134953,0.6169590784670556,0.726027397260274,0.001, 0 hr 20 min
resnet50,1,11,0.4476269328926766,0.584156548936073,0.7226027397260274,0.001, 0 hr 22 min
resnet50,1,12,0.4708131550975112,0.609241516826904,0.7363013698630136,0.001, 0 hr 24 min
resnet50,1,13,0.42331133505305507,0.5777463323041184,0.732876712328767,0.001, 0 hr 25 min
resnet50,1,14,0.4633856200864898,0.5428537354893881,0.773972602739726,0.001, 0 hr 27 min
resnet50,1,15,0.4021788177316281,0.564016293581218,0.7636986301369862,0.001, 0 hr 29 min
resnet50,1,16,0.41859695729779584,0.5736854407068801,0.7465753424657534,0.001, 0 hr 31 min
resnet50,1,17,0.3466385221276672,0.624478874447411,0.732876712328767,0.001, 0 hr 33 min
resnet50,1,18,0.33883537601503694,0.5507762448428428,0.7876712328767123,0.001, 0 hr 35 min
resnet50,1,19,0.343329671370625,0.7206039516484901,0.7226027397260274,0.001, 0 hr 37 min
resnet50,1,20,0.3396700537767533,0.5711617379972379,0.7842465753424657,0.001, 0 hr 38 min
resnet50,1,21,0.3101100905770396,0.5956452223536086,0.7671232876712328,0.001, 0 hr 40 min
resnet50,1,22,0.2896992551154845,0.5666265702002669,0.7568493150684931,0.001, 0 hr 42 min
resnet50,1,23,0.265748271819348,0.5630156902009493,0.7671232876712328,0.001, 0 hr 44 min
resnet50,1,24,0.2800465534173368,0.6376939152609812,0.7636986301369862,0.001, 0 hr 46 min
resnet50,1,25,0.27784026341888524,0.5919517235804911,0.7671232876712328,0.001, 0 hr 48 min
resnet50,1,26,0.25052865078520875,0.6175880156559487,0.7773972602739726,0.001, 0 hr 49 min
resnet50,1,27,0.2694682030718726,0.6138253971321942,0.7602739726027397,0.001, 0 hr 51 min
resnet50,1,28,0.2102799318890715,0.5978287411470936,0.7568493150684931,0.001, 0 hr 53 min
resnet50,1,29,0.23535102064773247,0.5692903866914854,0.773972602739726,0.001, 0 hr 55 min
resnet50,1,30,0.21197359590699233,0.5660738561251392,0.7773972602739726,0.0005, 0 hr 57 min
