model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
swin_tiny_patch4_window7_224,0,0,1.074639712485121,0.9770926179951185,0.5342465753424657,0.4211777353081701,0.44181446372601485,0.42645357894552427,0.001, 0 hr 01 min
swin_tiny_patch4_window7_224,0,1,0.8411882881954504,0.8615618176656227,0.5650684931506849,0.522659274806504,0.4532022124474918,0.47140887545180876,0.001, 0 hr 03 min
swin_tiny_patch4_window7_224,0,2,0.7155970980169435,0.922153354915854,0.5753424657534246,0.5673851108633717,0.4896422814586564,0.4985675002876837,0.001, 0 hr 05 min
swin_tiny_patch4_window7_224,0,3,0.6559178362588514,0.7146878373132993,0.6678082191780822,0.6468488352250035,0.6033575643410519,0.6148677248677248,0.001, 0 hr 07 min
swin_tiny_patch4_window7_224,0,4,0.5780158539698359,0.6697235576910515,0.7226027397260274,0.7424483082706766,0.6663817064875852,0.6861689645420421,0.001, 0 hr 09 min
swin_tiny_patch4_window7_224,0,5,0.5767657987037953,0.672250312485107,0.7020547945205479,0.7104083346664534,0.7199600190006121,0.7000104792590771,0.001, 0 hr 11 min
swin_tiny_patch4_window7_224,0,6,0.5493535141064886,0.5972046333633058,0.7636986301369862,0.7647347695265739,0.750620803187503,0.7558340964590965,0.001, 0 hr 13 min
swin_tiny_patch4_window7_224,0,7,0.49731171681133973,0.6330071197797175,0.7054794520547945,0.6707370448179273,0.5950445514699012,0.618985743985744,0.001, 0 hr 15 min
swin_tiny_patch4_window7_224,0,8,0.4942491785906927,0.5833403619184886,0.75,0.7434585786341005,0.6710568420825663,0.698607493488279,0.001, 0 hr 17 min
swin_tiny_patch4_window7_224,0,9,0.5246319644440909,0.5992745708112848,0.7226027397260274,0.7191788856304986,0.6706721172549472,0.6883822049817903,0.001, 0 hr 19 min
swin_tiny_patch4_window7_224,0,10,0.43967053524414357,0.5379001886060794,0.7842465753424657,0.7920008912655971,0.790429552355246,0.790844162729087,0.001, 0 hr 21 min
swin_tiny_patch4_window7_224,0,11,0.4306455264403585,0.5368074666555613,0.7808219178082192,0.7874902874902875,0.741122579757814,0.756951697588106,0.001, 0 hr 23 min
swin_tiny_patch4_window7_224,0,12,0.4215633902682767,0.5617899323162967,0.7568493150684931,0.7681745337995338,0.7123159152342702,0.7132522123654255,0.001, 0 hr 25 min
swin_tiny_patch4_window7_224,0,13,0.4027802168043898,0.4852410116016048,0.797945205479452,0.792161279393548,0.7856691492260257,0.787236214025557,0.001, 0 hr 26 min
swin_tiny_patch4_window7_224,0,14,0.4025952060335184,0.5399641247644816,0.797945205479452,0.8034420145857759,0.7973978047366932,0.7953106728077914,0.001, 0 hr 28 min
swin_tiny_patch4_window7_224,0,15,0.39634767389604464,0.5730327363700083,0.7568493150684931,0.7522502451152042,0.7030843161968457,0.7237530893846369,0.001, 0 hr 30 min
swin_tiny_patch4_window7_224,0,16,0.37113518300486226,0.533373016404779,0.7876712328767123,0.7954407270041439,0.7734348507034081,0.7793108828767006,0.001, 0 hr 32 min
swin_tiny_patch4_window7_224,0,17,0.3791006700163747,0.5485831699142717,0.7602739726027397,0.7686968680089485,0.7021036578792101,0.7201453544936215,0.001, 0 hr 34 min
swin_tiny_patch4_window7_224,0,18,0.3645588105328605,0.5463673886779237,0.7397260273972602,0.743047629499561,0.7288748050444405,0.7294905375299063,0.001, 0 hr 36 min
swin_tiny_patch4_window7_224,0,19,0.3535696793779283,0.4975725767547137,0.7876712328767123,0.7823215709728868,0.749739133616513,0.7593421165657346,0.001, 0 hr 38 min
swin_tiny_patch4_window7_224,0,20,0.3433447277341278,0.5676523036744496,0.7636986301369862,0.7656287028297151,0.6794706813627386,0.7116969641165948,0.001, 0 hr 40 min
swin_tiny_patch4_window7_224,0,21,0.3450096558347792,0.5782245491465478,0.7636986301369862,0.7603163992869876,0.6698035971791801,0.6950749079698701,0.001, 0 hr 42 min
swin_tiny_patch4_window7_224,0,22,0.3309520873900647,0.5860883662961933,0.7636986301369862,0.7755267603129445,0.7055757371721365,0.7286036636399774,0.001, 0 hr 44 min
swin_tiny_patch4_window7_224,0,23,0.2913197650674075,0.5441416702041887,0.7773972602739726,0.7799119344063165,0.7247660778306371,0.7466644978567054,0.001, 0 hr 46 min
swin_tiny_patch4_window7_224,0,24,0.3010647247277616,0.7191800673122275,0.7534246575342465,0.8079071569456184,0.7465036635637124,0.7566354522365487,0.001, 0 hr 48 min
swin_tiny_patch4_window7_224,0,25,0.28114402056251986,0.5323620781506577,0.7671232876712328,0.7755102040816326,0.7404135687762704,0.7558282641948582,0.001, 0 hr 50 min
swin_tiny_patch4_window7_224,0,26,0.3143774940732211,0.5222865575796938,0.7808219178082192,0.7873708615766875,0.7561199465918143,0.7666607841428976,0.001, 0 hr 51 min
swin_tiny_patch4_window7_224,0,27,0.2981502380749698,0.5640982373120034,0.7773972602739726,0.7921918767507004,0.7280000369165952,0.747589188808882,0.001, 0 hr 53 min
swin_tiny_patch4_window7_224,0,28,0.25215270703442616,0.5303180348383237,0.7808219178082192,0.7777315097659752,0.7516838296165183,0.7599267221161631,0.001, 0 hr 55 min
swin_tiny_patch4_window7_224,1,0,1.0800799056695767,0.8976619643707798,0.571917808219178,0.5266927679230662,0.468443947540538,0.4676143301143301,0.001, 0 hr 01 min
swin_tiny_patch4_window7_224,1,1,0.8359718592893413,0.929625832871215,0.5,0.46212121212121215,0.46013697853675684,0.4207434630678395,0.001, 0 hr 03 min
swin_tiny_patch4_window7_224,1,2,0.7581011892899935,0.6426875493297838,0.726027397260274,0.7333015185127861,0.6669675940899471,0.6820563956181428,0.001, 0 hr 05 min
swin_tiny_patch4_window7_224,1,3,0.6953673455848203,0.5967706952193012,0.726027397260274,0.6935147636728665,0.6451827191784,0.6612676234659469,0.001, 0 hr 07 min
swin_tiny_patch4_window7_224,1,4,0.6157771380162546,0.6598148394937384,0.684931506849315,0.6993852290121275,0.6427361371650798,0.6503600511089498,0.001, 0 hr 09 min
swin_tiny_patch4_window7_224,1,5,0.5979933005034156,0.5051444677049166,0.773972602739726,0.7872103683443661,0.7724294451991112,0.7722534057279821,0.001, 0 hr 11 min
swin_tiny_patch4_window7_224,1,6,0.5662141485275629,0.5046008978396246,0.7636986301369862,0.7615357963094955,0.7258917889651397,0.7346866271892781,0.001, 0 hr 13 min
swin_tiny_patch4_window7_224,1,7,0.5759810473785891,0.5025592874990751,0.7602739726027397,0.7462146969230556,0.6798883207653561,0.7038538258658439,0.001, 0 hr 15 min
