model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
deit_small_patch16_224,0,0,1.0152132563324956,0.9119320936398964,0.5753424657534246,0.5216927179676902,0.4712602672238786,0.48485870005147846,0.001, 0 hr 01 min
deit_small_patch16_224,0,1,0.7159599063989942,0.7041854384827287,0.6472602739726027,0.6088079334249215,0.5622539165894032,0.5764487087910319,0.001, 0 hr 03 min
deit_small_patch16_224,0,2,0.6006337147413917,0.690566407491083,0.6780821917808219,0.6746244696709093,0.5978540105470386,0.5992969170744733,0.001, 0 hr 05 min
deit_small_patch16_224,0,3,0.5059366428800919,0.6660223615496126,0.7226027397260274,0.7413951545530493,0.6636180256220773,0.6693592201981463,0.001, 0 hr 07 min
deit_small_patch16_224,0,4,0.46699719513434707,0.6298758587608598,0.726027397260274,0.7300685817805382,0.6519586295645083,0.6738303800230915,0.001, 0 hr 09 min
deit_small_patch16_224,0,5,0.4548369172816624,0.7691262407253866,0.6575342465753424,0.6484623015873017,0.5652616390184237,0.5843982643283459,0.001, 0 hr 10 min
deit_small_patch16_224,0,6,0.4836842713949506,0.6051794490585588,0.7431506849315068,0.7380333630333631,0.7001166956445605,0.7136139871809458,0.001, 0 hr 12 min
deit_small_patch16_224,0,7,0.389099044272828,0.5994433421794683,0.7397260273972602,0.730524278676988,0.643679470518015,0.6712678065760674,0.001, 0 hr 14 min
deit_small_patch16_224,0,8,0.335734476347338,0.5903746253007078,0.75,0.7192447505806685,0.6527030053375515,0.6774746341228876,0.001, 0 hr 16 min
deit_small_patch16_224,0,9,0.3451481384013344,0.5779832042243382,0.7568493150684931,0.7544473383759098,0.6760966924037408,0.7021587523089162,0.001, 0 hr 18 min
deit_small_patch16_224,0,10,0.32233256290910584,0.658351040049775,0.732876712328767,0.7317317762882279,0.63699037946993,0.6663580532618308,0.001, 0 hr 19 min
deit_small_patch16_224,0,11,0.30066502894966385,0.5906978506747991,0.7465753424657534,0.7316786748604931,0.6846371262031379,0.7013888888888888,0.001, 0 hr 21 min
deit_small_patch16_224,0,12,0.30769072470491027,0.6013700143523413,0.7568493150684931,0.7405549719887955,0.6778386738252191,0.7024420897186199,0.001, 0 hr 23 min
deit_small_patch16_224,0,13,0.2637162990452394,0.6447631032907799,0.7602739726027397,0.7450538783637376,0.6591715360635931,0.6837932524839543,0.001, 0 hr 25 min
deit_small_patch16_224,0,14,0.26316021513273785,0.606818577606384,0.773972602739726,0.767284718765555,0.724643893701114,0.7389207204765291,0.001, 0 hr 26 min
deit_small_patch16_224,0,15,0.27100769491154747,0.6274785101413727,0.7465753424657534,0.7317603592642955,0.6595951376596969,0.6864082902040575,0.001, 0 hr 28 min
deit_small_patch16_224,0,16,0.23456587646908003,0.6533353259302166,0.7465753424657534,0.7406661065191522,0.6720143050173246,0.6952438897716611,0.001, 0 hr 30 min
deit_small_patch16_224,0,17,0.22565901760379645,0.6852629179619762,0.7534246575342465,0.7452485686356654,0.6487898054005385,0.6813392360281891,0.001, 0 hr 32 min
deit_small_patch16_224,0,18,0.24650262001374248,0.6655203716395652,0.7568493150684931,0.7404204956836535,0.677368395604769,0.7020986393338828,0.001, 0 hr 34 min
deit_small_patch16_224,0,19,0.2262814693440695,0.6695249540450638,0.7431506849315068,0.7347415528711485,0.6780470239016987,0.6967105632647926,0.001, 0 hr 35 min
deit_small_patch16_224,0,20,0.20777538725746547,0.6444768861752667,0.7636986301369862,0.746663115476121,0.692174645551681,0.7137988443200665,0.001, 0 hr 37 min
deit_small_patch16_224,0,21,0.18942720058649906,0.734913076439949,0.7397260273972602,0.7127177400254076,0.6404339137406181,0.6658670033670033,0.001, 0 hr 39 min
deit_small_patch16_224,1,0,1.081783027710321,0.9529863730685352,0.523972602739726,0.4523957016434893,0.3855981664539879,0.3794184765502046,0.001, 0 hr 01 min
deit_small_patch16_224,1,1,0.769776228159794,0.7568792908975522,0.6198630136986301,0.6515136098469432,0.5830496799363859,0.5854467258601554,0.001, 0 hr 03 min
deit_small_patch16_224,1,2,0.6230909160790014,0.592633554380234,0.7226027397260274,0.7065527065527066,0.6396259140124287,0.6641178320166647,0.001, 0 hr 05 min
deit_small_patch16_224,1,3,0.5250369142053465,0.6299355132122563,0.7363013698630136,0.7398015336646335,0.7190623821854232,0.714515511072601,0.001, 0 hr 07 min
deit_small_patch16_224,1,4,0.49944581425241136,0.5381353260719612,0.7705479452054794,0.7617383512544802,0.719714629818024,0.7222113252588811,0.001, 0 hr 08 min
deit_small_patch16_224,1,5,0.4690839836014187,0.5104599215396463,0.7773972602739726,0.7303748308108774,0.7217987431369435,0.722778534495566,0.001, 0 hr 10 min
deit_small_patch16_224,1,6,0.4312027731422703,0.506872584558513,0.7705479452054794,0.758512031949532,0.7511086004559364,0.750936718429108,0.001, 0 hr 12 min
deit_small_patch16_224,1,7,0.40561979095823264,0.5301412629754576,0.7876712328767123,0.7786611842903234,0.726978950026691,0.7465197512758002,0.001, 0 hr 14 min
deit_small_patch16_224,1,8,0.4176878437463818,0.5714726715463482,0.7636986301369862,0.7717045001991238,0.6843770765584848,0.7152081467670198,0.001, 0 hr 16 min
