model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
efficientnet_v2_s,0,0,1.2794223261025042,1.2337443991085764,0.43743641912512715,0.36984184040258805,0.28986635695598023,0.26670936845363613,0.001, 0 hr 01 min
efficientnet_v2_s,0,1,1.1826714266353076,1.1772020896356685,0.45473041709053913,0.4037047561423601,0.3195008862375507,0.3057568887969624,0.001, 0 hr 03 min
efficientnet_v2_s,0,2,1.1341810695758792,1.1424802336784976,0.46795523906408953,0.42389209784492965,0.3367687267120756,0.3258753951340291,0.001, 0 hr 05 min
efficientnet_v2_s,0,3,1.1295830125362438,1.1139291699517173,0.5015259409969481,0.4394582676110063,0.3696341245816993,0.36920122318489645,0.001, 0 hr 07 min
efficientnet_v2_s,0,4,1.088631630792744,1.0892768809657132,0.5066124109867751,0.44497797825971197,0.37280266712633553,0.36881844757624677,0.001, 0 hr 09 min
efficientnet_v2_s,0,5,1.0760076780285257,1.068123904758892,0.5147507629704985,0.49904874563833046,0.40946790043970127,0.4078606244350545,0.001, 0 hr 11 min
efficientnet_v2_s,0,6,1.0597975324395956,1.04726980188492,0.5300101729399797,0.5039335269950045,0.43285954379616465,0.42651244119325005,0.001, 0 hr 13 min
efficientnet_v2_s,0,7,1.0515526135358295,1.0316994087135805,0.5289928789420142,0.4791690139943528,0.4409068401831863,0.4265407727420188,0.001, 0 hr 15 min
efficientnet_v2_s,0,8,1.0145567719230575,1.009670307653239,0.5666327568667344,0.5385320127639532,0.46379402324066454,0.4594251903981937,0.001, 0 hr 17 min
efficientnet_v2_s,0,9,1.0152916375884933,0.9967559326216503,0.572736520854527,0.5274989725571251,0.47978077432028393,0.46884492433470515,0.001, 0 hr 19 min
efficientnet_v2_s,0,10,0.9862465846332383,0.9745173559790347,0.5879959308240081,0.5549635238612008,0.5054666925074819,0.49593043504853984,0.001, 0 hr 21 min
efficientnet_v2_s,0,11,0.9878209005901069,0.96057487395142,0.5859613428280773,0.5451035021729738,0.4964527716806392,0.489655525319853,0.001, 0 hr 23 min
efficientnet_v2_s,0,12,0.9718325004694057,0.9423911982611018,0.5910478128179043,0.564548879076428,0.5139882310844468,0.5095077203574665,0.001, 0 hr 25 min
efficientnet_v2_s,0,13,0.9521024005216596,0.9266039461716025,0.595116988809766,0.5740246587935294,0.522393483870935,0.5162271058235524,0.001, 0 hr 27 min
efficientnet_v2_s,0,14,0.9295123753688342,0.9054329968905521,0.6093591047812817,0.5694007895188904,0.5342110072593623,0.5232591716510926,0.001, 0 hr 28 min
efficientnet_v2_s,0,15,0.9272413347769123,0.8891462761897401,0.6246185147507629,0.5884413919209417,0.5415808521878773,0.5325830503218958,0.001, 0 hr 30 min
efficientnet_v2_s,0,16,0.8937910950438537,0.8745066436236897,0.6378433367243133,0.6124369984271134,0.5609035162972822,0.5461466920197723,0.001, 0 hr 32 min
efficientnet_v2_s,0,17,0.8813141076271314,0.8553596198376902,0.6358087487283824,0.5979353144766679,0.5702118085396454,0.5530318180263657,0.001, 0 hr 34 min
efficientnet_v2_s,0,18,0.8493637053915588,0.8340430060820322,0.6439471007121058,0.6206138857563145,0.56827702842054,0.5575196742054163,0.001, 0 hr 36 min
efficientnet_v2_s,0,19,0.8391808662506717,0.8143118954020139,0.6602238046795523,0.6374058829072441,0.5917714190059056,0.5792729930436027,0.001, 0 hr 38 min
efficientnet_v2_s,0,20,0.8189603359507641,0.8068826209492261,0.6622583926754831,0.6473870471469934,0.6021906329053331,0.5876813626679931,0.001, 0 hr 40 min
efficientnet_v2_s,0,21,0.7931051593224612,0.7826113370403511,0.6805696846388606,0.6756957296269718,0.6213883535326805,0.6134825689078798,0.001, 0 hr 42 min
efficientnet_v2_s,0,22,0.8074017464205062,0.7578946377471892,0.6876907426246185,0.6841473412348561,0.6302372081599037,0.6279531367741155,0.001, 0 hr 44 min
efficientnet_v2_s,0,23,0.783567362556865,0.742634155561092,0.688708036622584,0.6878977765612447,0.6282130248742318,0.6248402006490241,0.001, 0 hr 46 min
efficientnet_v2_s,0,24,0.7522814009463678,0.7244016483259347,0.7009155645981688,0.7028138750093221,0.6391999403233899,0.641130680267779,0.001, 0 hr 48 min
efficientnet_v2_s,0,25,0.7598306955059086,0.7010086459521724,0.7121057985757884,0.7165238598057833,0.6554031478379239,0.6634430841834613,0.001, 0 hr 50 min
efficientnet_v2_s,0,26,0.7480809745565435,0.7010757647841289,0.7182095625635808,0.7304766044712114,0.6583670206015292,0.6667374634124503,0.001, 0 hr 52 min
efficientnet_v2_s,0,27,0.705470938466694,0.6866144140157185,0.7192268565615463,0.7289986802954114,0.6646071092739444,0.6720233230438016,0.001, 0 hr 54 min
efficientnet_v2_s,0,28,0.6973481265598735,0.6766298179223845,0.7171922685656155,0.7325992592432465,0.6634629445142189,0.6710886095735382,0.001, 0 hr 56 min
efficientnet_v2_s,0,29,0.6680223868434088,0.6555356237798595,0.7314343845371312,0.7353596777631197,0.6764374575885568,0.6819162709288388,0.001, 0 hr 57 min
efficientnet_v2_s,0,30,0.6750903785046823,0.654833885017756,0.7385554425228891,0.7447552252834931,0.6897367879283842,0.6969798310897887,0.0005, 0 hr 59 min
efficientnet_v2_s,0,31,0.6578169455969686,0.6507409090064428,0.733468972533062,0.7434575376678544,0.6825674002810181,0.6880041210368075,0.0005, 1 hr 01 min
efficientnet_v2_s,0,32,0.6585348065969054,0.6380901937567205,0.7416073245167853,0.7475176822111218,0.6907102658141178,0.6990383903015732,0.0005, 1 hr 03 min
efficientnet_v2_s,0,33,0.6607934781032807,0.6481024093569719,0.7324516785350966,0.7413969233066735,0.6880374219082019,0.694581557450712,0.0005, 1 hr 05 min
efficientnet_v2_s,0,34,0.6412985229661967,0.6324589885505995,0.745676500508647,0.7556045613386145,0.6978837096547046,0.7060473304505795,0.0005, 1 hr 07 min
efficientnet_v2_s,0,35,0.6596242779390251,0.6378731508706132,0.7395727365208545,0.7484725062008738,0.6982854297974871,0.7058577516629589,0.0005, 1 hr 09 min
