model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
resnet50,0,0,1.2850441617350425,1.2753915671379334,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 01 min
resnet50,0,1,1.2261538659372637,1.267393196782758,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 03 min
resnet50,0,2,1.1889890809212962,1.2084438339356454,0.32903225806451614,nan,0.22300531914893618,0.17999595571508015,0.001, 0 hr 05 min
resnet50,0,3,1.1443467201725128,1.153773384709512,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 06 min
resnet50,0,4,1.1195756066230036,1.1110931673357565,0.5419354838709678,nan,0.2756648936170213,0.22596491228070176,0.001, 0 hr 08 min
resnet50,0,5,1.1373355330959443,1.1048448777967883,0.5419354838709678,nan,0.29102393617021277,0.2575863161229015,0.001, 0 hr 10 min
resnet50,0,6,1.0894288947505335,1.1098084065221971,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 12 min
resnet50,0,7,1.0874400277291574,1.1178686311168056,0.5548387096774193,nan,0.3323803191489362,0.29683583959899745,0.001, 0 hr 13 min
resnet50,0,8,1.0749909966222702,1.0800718184440368,0.567741935483871,nan,0.305718085106383,0.2720772946859903,0.001, 0 hr 15 min
resnet50,0,9,1.0420152894912227,1.067461359885431,0.5290322580645161,nan,0.26283244680851064,0.20040743570155337,0.001, 0 hr 17 min
resnet50,0,10,1.0504111474560154,1.0694585307951896,0.5612903225806452,nan,0.3157579787234043,0.2850114416475973,0.001, 0 hr 18 min
resnet50,0,11,1.036954906678969,1.0499481616481658,0.5870967741935483,nan,0.31289893617021275,0.2804615825688073,0.001, 0 hr 20 min
resnet50,0,12,1.0252270906202254,1.0399017410893594,0.5419354838709678,nan,0.2734707446808511,0.21954191033138404,0.001, 0 hr 22 min
resnet50,0,13,1.0060173153877259,1.0609251145393617,0.5870967741935483,nan,0.36775265957446807,0.3205348566806532,0.001, 0 hr 23 min
resnet50,0,14,0.9940505885308789,1.028437114530994,0.5806451612903226,nan,0.30757978723404256,0.27332028701891714,0.001, 0 hr 25 min
resnet50,0,15,0.9975779748732044,1.0347294768979471,0.5419354838709678,nan,0.2734707446808511,0.21954191033138404,0.001, 0 hr 27 min
resnet50,0,16,0.9848962495403905,1.0133991010727421,0.5870967741935483,nan,0.3238696808510638,0.29493189737092174,0.001, 0 hr 28 min
resnet50,0,17,0.9638129111259214,1.0250875642222743,0.5806451612903226,nan,0.3470744680851064,0.31057373162636326,0.001, 0 hr 30 min
resnet50,0,18,0.9451828402857627,1.0024604797363281,0.5548387096774193,nan,0.28410904255319147,0.23727876106194695,0.001, 0 hr 32 min
resnet50,0,19,0.9604502985554356,0.9940965406356319,0.5935483870967742,nan,0.3423537234042553,0.31031586021505375,0.001, 0 hr 33 min
resnet50,0,20,0.9691025103292158,0.9815888020300096,0.5935483870967742,nan,0.31821808510638294,0.2874158099964551,0.001, 0 hr 35 min
resnet50,0,21,0.9473756444069648,0.9806035103336457,0.6,nan,0.34547872340425534,0.3148169336384439,0.001, 0 hr 37 min
resnet50,0,22,0.9113185094248863,0.9692115629872968,0.6,nan,0.33670212765957447,0.3087341072415699,0.001, 0 hr 38 min
resnet50,0,23,0.9001524136912438,0.9568884449620401,0.5935483870967742,nan,0.32699468085106387,0.299506237006237,0.001, 0 hr 40 min
resnet50,0,24,0.9162335341976535,0.9465120146351476,0.6064516129032258,nan,0.34421542553191486,0.3142351900972591,0.001, 0 hr 42 min
resnet50,0,25,0.9096159400478486,0.9491660518030967,0.6193548387096774,nan,0.361436170212766,0.3281136806910003,0.001, 0 hr 43 min
resnet50,0,26,0.8585409987357355,0.9405647131704515,0.6193548387096774,nan,0.34388297872340423,0.31782744282744285,0.001, 0 hr 45 min
resnet50,0,27,0.8579982611440843,0.9191236265244023,0.6064516129032258,nan,0.34640957446808507,0.3181063122923588,0.001, 0 hr 47 min
