model,fold,epoch,train_loss,val_loss,val_acc,precision,recall,f1_score,lr,elapsed
swin_tiny_patch4_window7_224,0,0,1.2939186511501188,1.1951989358471287,0.5032258064516129,nan,0.26365248226950355,0.2162789987789988,0.001, 0 hr 01 min
swin_tiny_patch4_window7_224,0,1,1.1498160492989324,1.1417769616649998,0.5161290322580645,nan,0.25,0.1702127659574468,0.001, 0 hr 03 min
swin_tiny_patch4_window7_224,0,2,1.165424297701928,1.110720165314213,0.5161290322580645,nan,0.25,0.17094017094017092,0.001, 0 hr 04 min
swin_tiny_patch4_window7_224,0,3,1.1358585311520484,1.1376716821424422,0.45806451612903226,nan,0.30525265957446807,0.25208998328013377,0.001, 0 hr 06 min
swin_tiny_patch4_window7_224,0,4,1.130281146880119,1.1178937342859083,0.5419354838709678,nan,0.30199468085106385,0.27237582005623245,0.001, 0 hr 08 min
swin_tiny_patch4_window7_224,0,5,1.12245971925797,1.0950547995105866,0.5161290322580645,nan,0.25,0.17094017094017092,0.001, 0 hr 09 min
swin_tiny_patch4_window7_224,0,6,1.1220393565393263,1.087519380354112,0.5225806451612903,nan,0.2553191489361702,0.18135683760683757,0.001, 0 hr 11 min
swin_tiny_patch4_window7_224,0,7,1.117822519425423,1.0877272467459402,0.5161290322580645,nan,0.2543882978723404,0.18879598662207356,0.001, 0 hr 13 min
swin_tiny_patch4_window7_224,0,8,1.1030757373379123,1.0787388663138113,0.535483870967742,nan,0.27034574468085104,0.2172607128554265,0.001, 0 hr 14 min
swin_tiny_patch4_window7_224,0,9,1.1012936519038292,1.0871114077106598,0.6,nan,0.34328457446808514,0.3141986879100281,0.001, 0 hr 16 min
swin_tiny_patch4_window7_224,0,10,1.1021755922225214,1.0676139939215876,0.5290322580645161,nan,0.26283244680851064,0.20058528428093647,0.001, 0 hr 18 min
swin_tiny_patch4_window7_224,0,11,1.0877832551156321,1.0671041896266322,0.6129032258064516,nan,0.34075797872340424,0.31279695913842254,0.001, 0 hr 19 min
swin_tiny_patch4_window7_224,0,12,1.0975181994899628,1.0644784742786038,0.6064516129032258,nan,0.34202127659574466,0.313434643094993,0.001, 0 hr 21 min
swin_tiny_patch4_window7_224,0,13,1.0929781521520308,1.0546534330614152,0.6,nan,0.3301196808510638,0.3027135085534509,0.001, 0 hr 22 min
swin_tiny_patch4_window7_224,0,14,1.0626225798360762,1.0427876518618675,0.6258064516129033,nan,0.3492021276595745,0.3226239141543178,0.001, 0 hr 24 min
swin_tiny_patch4_window7_224,0,15,1.0542246987742763,1.0301866146825975,0.6129032258064516,nan,0.3429521276595745,0.3151774022572801,0.001, 0 hr 26 min
swin_tiny_patch4_window7_224,0,16,1.0540419547788558,1.0259137115170878,0.6064516129032258,nan,0.34421542553191486,0.31619769119769114,0.001, 0 hr 27 min
swin_tiny_patch4_window7_224,0,17,1.043449730257834,1.0234099318904262,0.6129032258064516,nan,0.35831117021276593,0.32541097798829755,0.001, 0 hr 29 min
swin_tiny_patch4_window7_224,0,18,1.040561996736834,1.027154387966279,0.5935483870967742,nan,0.36210106382978724,0.32204011101220087,0.001, 0 hr 31 min
swin_tiny_patch4_window7_224,0,19,1.0502565433902125,1.042337336847859,0.5225806451612903,nan,0.34089095744680853,0.28723404255319146,0.001, 0 hr 32 min
swin_tiny_patch4_window7_224,0,20,1.0289045714562939,1.0029260420030164,0.5870967741935483,nan,0.3655585106382979,0.3208333333333333,0.001, 0 hr 34 min
swin_tiny_patch4_window7_224,0,21,1.0101107220495902,0.9874741608096708,0.6064516129032258,nan,0.3683510638297872,0.3289640591966173,0.001, 0 hr 35 min
swin_tiny_patch4_window7_224,0,22,1.038345443817877,1.0392030977433728,0.4774193548387097,nan,0.3190159574468085,0.26200080677692617,0.001, 0 hr 37 min
swin_tiny_patch4_window7_224,0,23,1.0136957268561086,0.9727648419718589,0.6193548387096774,nan,0.3680186170212766,0.33302335758437723,0.001, 0 hr 39 min
swin_tiny_patch4_window7_224,0,24,1.0153112449953634,0.9595724844163463,0.6064516129032258,nan,0.3595744680851064,0.32531043159564577,0.001, 0 hr 40 min
swin_tiny_patch4_window7_224,0,25,1.0102470870940916,0.9561272090481173,0.6064516129032258,nan,0.3727393617021276,0.3298712089738264,0.001, 0 hr 42 min
swin_tiny_patch4_window7_224,0,26,0.9927279349296324,0.9340550130413424,0.6709677419354839,nan,0.3842420212765958,0.35425500149298295,0.001, 0 hr 44 min
swin_tiny_patch4_window7_224,0,27,0.9454372721333657,0.9392596290957543,0.6258064516129033,nan,0.37553191489361704,0.33706275033377836,0.001, 0 hr 45 min
swin_tiny_patch4_window7_224,0,28,0.9802488949991042,0.9151602291291759,0.632258064516129,nan,0.36768617021276595,0.33572281959378736,0.001, 0 hr 47 min
swin_tiny_patch4_window7_224,0,29,0.9427223001756976,0.9143155813217163,0.632258064516129,nan,0.36768617021276595,0.33572281959378736,0.001, 0 hr 49 min
